1	0.33	0.023563348
4	1.33	0.02046133
7	2.71	0.020347896
11	4.89	0.288474362
14.375	9.87	0.434831878
17.41666667	19.06	1.136504663
22	44.82	2.836014695
27	60.26	1.017106143
32.95833333	62.92	0.847861286
33.04166667	0.24	0.016696075
33.125	0.49	0.05480829
33.375	2.64	0.082645593
33.95833333	8.99	0.120099718
34.5	16.78	0.194534894
36	36.29	0.54959944
39	43.29	0.52975024
43	48.60	1.245419586
46	52.70	0.737270361
53	58.36	2.167527073
67	63.09	4.95802644
7.00	291.59	259.24
17.42	12184.83	10795.16
27.00	1255.22	1132.42
32.96	1248.98	845.93
33.04	3004.81	2169.28
33.13	24065.78	10349.26
33.38	13969.18	12213.51
33.96	53440.58	11677.55
34.50	54995.14	33604.78
36.00	21566.61	19311.56
39.00	17853.74	7484.83
43.00	3914.42	2942.46
46.00	1118.99	184.83
53.00	2944.49	1732.35
0.00	52839.06	16707.31
1.00	45483.10	16200.25
7.00	127471.30	153366.51
17.42	492743.02	377766.59
27.00	2875761.66	88396.93
32.96	1755857.89	344577.94
33.04166667	2.967E+06	7.461E+05
33.125	3.221E+06	1.420E+06
33.375	1.909E+06	8.804E+05
33.95833333	2.615E+06	1.384E+06
34.5	3.935E+06	2.911E+06
36	5.426E+06	1.169E+06
39	7.182E+06	1.113E+06
43	7.536E+06	1.491E+06
46	3.428E+06	4.121E+05
53	7.803E+06	5.472E+06
